text_data,topic
"bad side affects, be careful!. okay, let’s get straight to it. these vitamins made my eyes very red, very puffy and very itchy. i admit that the night that i got them i took two at the same time. the next day when i woke up my eyes looked a little puffy underneath. i did take the vitamins how i was instructed to that same day. my eyes did seem a bit itchy and slightly puffy but i have allergies so i figured it was my allergies making my eyes itch (i had been sneezing and coughing before i took the vitamins). after i took the third pill  i felt extremely weird. i felt tired and off balance. i woke up in the middle of the night and my eyes were really puffy and i felt dizzy. i stopped taking the pills and some of the swelling and itchiness is gone. i tried to look on youtube and google to find out if anyone else had any bad side effects but i couldn’t even find one review or a mention of the vitamins. ""x brand"" is the only place that i found reviews and people talking about similar side effects. there where only a few of the bad reviews so i brought them anyway to try it out. if you’re looking to buy these, i would definitely take account of the reviews like mine that talk about bad side affects. also if you do buy them follow the directions and maybe drink lots of water.  my eyes still look a little bad and they itch and i’m hoping this goes away. in the picture my eyes are not as puffy but you can see a little of the puffiness.",Texture
"wrong item. was shipped potassium gluconate instead, and the refund policy says i can't get a return on this. the reviews look like others have been having this same issue.",Wrong Product received
broken. it was broken very dissapointed,Packaging
"awful taste, waste of money.. the taste is awful! i was so excited after reading reviews on how well it tasted and was absorbed, by i just cannot do it. i gagged when trying it and feel it was a pure waste of money. i would love a refund, because there is no way that i will be using this.",Bad Taste/Flavor
works but.... definitely helped ease my allergy symptoms but left me with headaches and a weird metallic taste all day.,Bad Taste/Flavor
"not as good as other brands. i tried this because i read that casein is good before bed and i can tell you this stuff makes a thick shake, it does not blend as well as other products and the flavor is just bleh. i would probably not recommend this product to be completely honest.",Bad Taste/Flavor
"no difference. no difference. you won't have any cravings, but you feel uncomfortable and you eat to make the feeling go away. so at the end  it is not adding anything. i find the nature's bounty 315 mg capsules more effective in burning fat.",Not Effective
"usually good. i’ve ordered these numerous times now. my favorites are the blueberry and the strawberry. but i also like the green apple and vanilla latte.overall i’ve bought close to 3-4 bottles of each flavor by now. the most recent bottle of blueberry mojito that i bought though i am returning. everything looks normal but the taste is disgusting. it tastes nothing like all of the previous bottles tasted like. there’s no fruity flavor, it just tastes like nasty powder. i’m not sure if there was a different seller this time or if i legit got a defective bottle but i’m hesitant now to buy any more via ""x brand"".",Bad Taste/Flavor
"tastes nice but upset my stomach. tastes good, blends just ok, but unfortunately upset my stomach, probably too much caffeine.",Allergic
"not cheez-its, but almost. they look like cheez-its, they smell like cheez-its, they taste like cheez-its, except for the aftertaste. there is a faint hint of a ""chemical"" taste. i don't know how else to describe it other than maybe an artificial flavoring or a faint vitamin bitterness. it is very faint, but enough to make you say, hmmm, i guess these are not real cheez-its. since it is not a significant savings, i will probably not buy these again.",Bad Taste/Flavor
"didn’t work for it was intended, nothing bad with the service, it is the product. this product is not good for people with gastritis, it stimulates the acid production",Not Effective
"advertised folate is not what i received. ordered for folate, and received folic acid. false advertising! very displeased that i spent $25 and can’t return this item.",Ingredients
product usable. product came open and about quarter of it leaked out.  it looked as if the inner deal was broken.  could not flip to use it either.  i was not comfortable using a open product.  the container  became sticky from all the oil that was on it,Packaging
do not buy seller would not replace. very sticky and wet ... all stuck together,Customer Service
kids won't take it and say it's gross. my 3 sons do not like the taste and say that they are gross. i'm disappointed this product didn't work.,Bad Taste/Flavor
broken !. 2 plastic containers in bag with no protection. bag was dirty and clearly not handled well.one calcium container had broken top ....pills scattered loosely in shipping pack.  in reaching in i pricked my finger on sharp torn container top. blood.  threw out all those pills from damaged container.no i do not want another one.  i just want to see more careful packing work!,Packaging
"broken seal... disappointed!!!. i ordered these after reading the good reviews.however, when i received the bottle... the seal was broken.it's important to have a seal intact for any supplements and medications... disappointed!",Packaging
time will tell. and it did.....disappointing!. gotta give it some time 'cuz i just got it.............now that i've been taking it for a while i'm disappointed in its affect. no noticeable change in my allergy issue when taking allerclear but the competition works great!,Allergic
"would be nice if it actually was delivered. ordering ""x brand""'s branded energy drink has been a complete and utter disaster.  first delivery was damaged before being delivered to my residence.  contacted ""x brand"" for a replacement delivery, all was well.  received an email that the package was lost during delivery, again, before reaching my resident.  i think they should pull the plug on offering their pwn energy drinks at the current time.  logistics seem highly broken.",Shipment and delivery
"package shipped w/open seal. hate rating a product bad due to something trivial such as packaging, but truth of the matter is that there was an usps issue which delayed the delivery of the product. only after one week of having the product and opening it, i discovered the seal was opened, and the vitamins looked discolored. i've taken this product before, so i knew something wasn't right. unfortunately, with the shipping delay issue, the product is no longer available for return leaving me an unhappy customer.",Quality/Contaminated
"wrong product count. the advertised count is 70 gummies. the actual count on the bag is 60. not happy with that! on year ago it was $11.99 for a 50 count, and it has been going up in price. one seller through ""x brand"" has recently stopped selling, now ""x brand"" is selling it for more. not to mention misleading me on the gummy count. look to the left corner of the advertised bag if you can. it printed 60 count.",Wrong Product received
"what is actually in this tablet?. i have been taking ki for years. the brand that i previously purchased was not available, so i purchased the now brand. mistake. no effect - doesn't seem to even have any ki in it, since there is no odor or taste even when you grind it up. ki has a very distinct flavor/smell, and i can tell personally when a dose is in my bloodstream. i think these are basically starch tablets with nothing in them. will not buy again.",Not Effective
no improvement. useless for me. don’t feel energized after taking it,Not Effective
"item was not placed in ""x brand"" locker and it was stolen. bad seller/ customer service. package was not delivered to ""x brand"" locker as expected but it was given to the cashier in the gas station where the locker is located. therefore package was stolen and i asked for a replacement but they said they were not responsible for missing items. i will purchase the essential oils from other seller and ask them to ship directly to my home. never to ""x brand"" locker again, i have had lots of problems with them lately.",Shipment and delivery
rough wipe. try to get something else. i love kirkland brand but these are horrible! they are not soft whatsoever. they are thick but it doesn’t wipe easily. hard to get out of the package. my daughter has sensitive skin and breaks out with eczema from time to time and this irritates her skin. 2 stars only for the price but at this rate you might as well get the cheap stuff. i mean it does the job but really rough so if you can afford it get a better brand.,Allergic
"used to be tons & tons of enzymes for inflammation but now reformulated fyi and does not help much.. my husband used to take the original garden of life fyi, “for your  inflammation” it was just tons and tons of enzymes which decreased inflammation. now they have reformulated it to be a glucosamine supplement which does not help much.",Not Effective
"★ ★ ★ ½: no night & day difference / still benefitial. i’ve actually seen this at a drugstore, which is nice as i am not “required” to purchase online only, or have to drive out of my way to another store somewhere to get it. i have not seen other “vision/lutein blue” supplements out there, but then again, i have not been store-hopping with the intent to look for this kind specifically.on a positive note, when i started taking this, i experienced no negative reaction. good or bad, i don’t know, i didn’t notice any difference in my eyes (sensitivity, no more or less eye fatigue, no more or less “strength” or “endurance,” or any noticeable change,) when i started taking this kind, but maybe that is because i had already been taking eye supplement/support for about a year or so pre-this kind. hard to say.dosage remark:since i have tried others, others have suggested taking 2 a day, and for both, i have tried 1 once a day and the twice a day recommendation (the once a day for budgeting purposes so as to make them last longer and me not purchase as often.) i experienced no noticeable difference for either of these taking one a day versus one a day; thus, taking this product once a day - per recommendation, i am guessing, is probably as effective as the others.overall:would i recommend? probably. if you are looking for a supplement to give you that eye health support, especially if you are at/on the computer and other electronics for the vast majority of the day most days of the week, then i’d say that some kind of supplement is better than none.~~~~~here is a comparison of three vision-supporting supplements that i have tried/am trying (as i type this up 3 november 2018):>>> item being reviewed! &lt;&lt;&lt;nature’s bounty: lutein blue- quantity: 60- ingredients: vitamin a, zinc, lutein, zeaxanthin isomers + other ingredients: olive oil, gelatin, vegetable glycerin, yellow beeswax, sorbitol, contains &lt;2% o: mixed natural tocopherols, soy lecithin- pill/capsule/softgel/etc.: round softgel- dosage: x1 daily; preferably with a meal (adults)gaia: vision enhancement- quantity: 60- ingredients: vegetable glycerin, capsule (chlorophyll vegetable cellulose) and water- pill/capsule/softgel/etc.: alcohol-free, liquid photo caps (capsule)- dosage: x1 capsule x2 daily w/mealsquantum health: digital blue- quantity: 60- ingredients: vit e, zinc, curcumin, lutein (free form), zeaxanthin, omega-3 dha epa + other ingredients: fish oil, gelatin, sunflower oil, glycerin, yellow bees wax, water, carob- pill/capsule/softgel/etc.: round softgel- dosage: x2 softgels daily with food",Not Effective
"smells like rotten fish. definitely do not recommend. the first bottle i received was fine, but the next had an awful fish smell that had me gagging and left my hands smelling like fish even after washing.  i tried the vitamin anyway, twice, and ended up with diarrhea both times. that didn’t happen with the first bottle... thought the issue was purchasing from ""x brand"" but had the same problem with a bottle i purchased from walgreens.",Ingredients
awful. product did nothing for me.,Not Effective
"save your money !!. i really had high hopes for this considering the reviews. i have fatigue issues and don't know why and never had any answers for it. so i am trying to find ways fo help motivate me and help regulate my sleep schedule more. this not only did not moticate me, lift me up of give me an overall sense of well being, as advertised...it actually made me feel a bit jittery. there isnt caffeine in it so i am not sure what that was about. but i even gave it a week to see my body would adjust and they kept making me feel weird. it did curve my appetite a bit which i didn't mind but because of the yucky feeling i had it wasn't even worth it for the dietary effect.  this is a bogus product. all talk. no game.",Texture
"fire in the bottle?. the shipping envelope, outside the product box and other product shipped in the same delivery envelope were fine, but the vitamins look as if someone set fire to the top. so weird.",Texture
skip. started smelling bad after about a month. wasn't going to risk it so i threw it away.,Quality/Contaminated
don't bother. didn't do anything for me at all. very disappointed. would give it a no star if i could.,Not Effective
"just bought this product, my initial opinion. i'm a real person. i bought the gnc pro bulk 1340 expecting the god of all protein powders, but my initial overall opinion of this powder is lackluster.i thought “gainer 1340” was just a cool name for a protein powder. i felt stupid to realize that this was the amount of calories that were in 4 full servings of this product. which is a lot. which is good. it means this thing must be loaded with carbs and protein right?? well, not the case actually. comparing this product with my previous mass gainer that ran out, i was surprised to find out that this powder had over double the calories, but still less carbs and protein than my previous powder! which begs the question where are all these calories coming from. well judging on the taste of it, probably sugar. it is a very sweet drink that taste quite nice compared to most other products. it has a little artificial taste, but overall it went down smooth. also the amount of vitamin d in this powder is insanely low compared to my previous powder. this powder screams cheap filler protein powder to me. i would not recommend this product at all, unless you are really struggling to gain weight and want a protein powder that is palatable and calorie dense. scoop sizes are a little bigger than average, but doable. also it’s important to note this product has a gram of creatine monohydrate per 4 servings, so if you are at all worried about the male pattern baldness side effect from taking creatine. i would stay away from all protein powders that have it in them. i do not look forward to forcing myself to drink this powder for a month. it is 650 calories over my previous shake, so i guess i’ll start running 6 miles now. also i’m going to have to find foods to replace the missing carbs and protein that i got when i bought this product.fyi this is just my initial review. i'll take this for a month and probably leave another review.",Too Sweet
spoiled vitamins w phony expiration date. *****dont buy from here!!the vitamins are spoiled and the container has a phony expiration date on the side of the bottle. none of the bottle stuff i’ve purchased from the super market have a date in that place. so they knowingly put that there,Expiry
not for me. large and taste ironish  made me gag.  also hurt my stomach something fierce. not ones i would recommend just because of those issues.  i cannot imagine trying to keep these down ughhh just gross,Bad Taste/Flavor
"natural flavor, not vanilla. i purchased this because the vanilla creme was out of stock.  it does not have a vanilla taste, ""natural"" or otherwise.",Bad Taste/Flavor
"""x brand"" sends the wrong product.. i keep receiving the wrong product!",Wrong Product received
"don't take if you are prone to gout. l-arginine increases uric acid in the blood and kidneys. the first time i took this (1000 mg/day), 3 weeks later i had a major gout attack in my knee. the second i took it (8 months later), i developed a uric acid kidney stone, also 3 weeks later. i don't think there is anything wrong with the product itself, but the dosage is definitely too high for my system even when i drank a gallon of water over the course of a day. i will never take it again. use this with caution, and drink *lots* of water.",Wrong Product received
"mold/brown spots. poor quality, i would have no problem taking these pills with brown spots if the brand did not shy away from contaminated batches and just explained what is turning brown and if it is safe to use.",Not Effective
"not good for an acidic stomach. unfortunately this product gives me an acidic stomach. i will try and get through this bottle, but i won't buy the same kind again. having said that, in general i like this brand and have had no problems with other products in the same range.",Quality/Contaminated
"gross. these tasted really bad and i was kinda pissed because i bought 2 of these. i ended up giving them away and they still got thrown out. they work okay for what they are but none of us could get past the awful, weird taste.",Bad Taste/Flavor
"not sweet. not a good value!. this stuff isn't sweet. i've been using pure (not that toxic, puffed-up grocery store crap) for years. this i have to use 3 to 4 times the usual amount to get any sweetness at all so it is not a good value! i contacted now foods because i'm out of the return window because i just kept trying to get it to work and i didn't open it right away so my return window closed for it. now foods tells me that i have to return it via my order on ""x brand"" so i'm stuck and i'll have to use it, but i will never purchase the now foods brand again.one thing i will say is that i don't notice that it's bitter and i'm using a ton of it. i am so disappointed and upset because it's not inexpensive & i'm not rich.",Texture
tastes awful no matter what you do. i tried this for a month and didn’t notice any difference in my body or how i felt except for how awful this tastes no matter what i tried to mix it in.,Bad Taste/Flavor
"received cheap fake product. i have been buying this product for several years, and receiving it though subscribe and save for a few months. the last unit i received (sold by ""x brand"") was a knockoff. i am 100% sure it's fake. the texture is off, the flavor is a cheap fake vanilla instead of cookies and cream, the little chocolate specks are thick and sink to the bottom instead of floating and the product makes a lot of foam when mixed. the label is not even properly stuck to the tub. this was sold by ""x brand"", not a third party shop, so i imagine they've changed suppliers or something has gone wrong with their supply chain. i contacted customer support and they'll start an investigation, but the only solution they've offered is returning the item. not only i have to go through the trouble of sending it back, but apparently i'll be charged for shipping, when the problem was theirs in the first place. be very careful. from now on i'll be paying extra to buy from the brand directly. don't gamble with what you're putting in your body.",Texture
"gross. i tried these and they're gross.  my kids will not eat these, i don't blame them!",Bad Taste/Flavor
"bad side affects, be careful!. okay, let’s get straight to it. these vitamins made my eyes very red, very puffy and very itchy. i admit that the night that i got them i took two at the same time. the next day when i woke up my eyes looked a little puffy underneath. i did take the vitamins how i was instructed to that same day. my eyes did seem a bit itchy and slightly puffy but i have allergies so i figured it was my allergies making my eyes itch (i had been sneezing and coughing before i took the vitamins). after i took the third pill  i felt extremely weird. i felt tired and off balance. i woke up in the middle of the night and my eyes were really puffy and i felt dizzy. i stopped taking the pills and some of the swelling and itchiness is gone. i tried to look on youtube and google to find out if anyone else had any bad side effects but i couldn’t even find one review or a mention of the vitamins. ""x brand"" is the only place that i found reviews and people talking about similar side effects. there where only a few of the bad reviews so i brought them anyway to try it out. if you’re looking to buy these, i would definitely take account of the reviews like mine that talk about bad side affects. also if you do buy them follow the directions and maybe drink lots of water.  my eyes still look a little bad and they itch and i’m hoping this goes away. in the picture my eyes are not as puffy but you can see a little of the puffiness.",Allergic
shipping was bad. this oil worked for me.  the only thing i did not like is how it melted out the jar in shipping.  other than that i recommend it.,Quality/Contaminated
fishy smell and taste : p. so i’m sure the quality of the product is fine but the taste is horrible. they smell and taste like fish and i had other prenatals with dha that had no taste at all. i’m only taking these while nursing but i would have probably gagged if i were pregnant.,Ingredients
"arrived hot!!. i tried to return this item since it arrived hot and is useless now!!  the icepack was literally hot.  furthermore, i was just told that i am unable to return this product which really irritates me since it was so expensive and i will have to throw it away in the trash.  what a waste of money.... this is my fifth time buying this product, and i will never buy it again on ""x brand""....terrible customer service on this one guys!!",Not Effective
"made me sick. had been using the walmart equate version for months with no problem. bought this because its a heck of a good price. problem is that it made me and the wife sick. nausea , the ""other end"" and dizziness. this is the only medication we share and the symptoms started the day after we started using it.",Allergic
all with expirations in months!. we bought four bottles of fish oil in april 2019 and all of them have expiration date dec 2019!  what a bad service!!! very disappointed!!!! will never buy this product again!!!,Ingredients
"not for me. these made me become very ill. i started off taking one half daily, then cut it down to quarters after becoming sick. after a week of trying to push through the sickness (i want the amazing benefits so badly), i stopped taking it. a week and a half later, i am still throwing up and having constant stomach pain. (i went to a doctor.) i am going to try a different brand that has better quality ingredients. these don't taste terrible, but they definitely don't taste good. they are very chalky, which can be expected. i really liked the idea of having a chewable form.",Allergic
"not buying again after reading research done showing toxins in product.. i needed to add protein from a non dairy source.  i was happy to find the plant protein products but after reading information provided by the clean label project; i'm looking into other options.  apparently, plant based protein products have some of the highest levels of contaminants including heavy metals, pesticides, arsenic, etc.",Ingredients
bottom of bottle totally broken out!. great product but.....the order arrived with the complete bottom of the bottle broken out and glass and the vitamins spilled out. do i return this bottle or get a refund? not sure if i want to take them with the pills mixed in with all the broken glass. help!,Packaging
cause horrible bloating. gave me bad stomach cramps and bloating for over 12 hours. felt miserable like i had a huge log in my stomach.,Too big to swallow
kids won't take it and say it's gross. my 3 sons do not like the taste and say that they are gross. i'm disappointed this product didn't work.,Not Effective
"stuck together mess. ordered twice a month apart.  both orders were ""x brand"" sold and shipped and both contained stuck together gummy globs.  stock needs to be removed.  disappointed.1 star based on contents as received.",Texture
does nothing!!. did nothing. only got a lot of positive reviews because you get one free,Not Effective
works but terrible side effects. managed symptoms of bact. inf but side effects not worth it. possible long term nearological damage possible from what i've read. i use garlic and that works well for infections.fyi. dizziness and slightly hallucinating very wierd feeling.,Not Effective
wrong item. got sent the wrong item,Wrong Product received
disgusting. not good,Quality/Contaminated
"disappointed. i've used this product in the past.  when i used the 6 mini gels per day it was great.  i switch to the 2 pills per day because i could get 90 days worth so i wouldn't have to shop as often and it was a little cheaper.  unfortunately either i got an old batch, a bad batch, expired or recycled batch or what ever - i don't know, but it doesn't nearly have the same potency and results i got with the other. i won't order it again",Quality/Contaminated
breakouts!. tastes alright...i switched to this after taking sugarbearhair for over a year with no issues. this broke me out like crazy and gave me weird digestive issues. very weird. i stopped taking them. i’m not really sure what is in them that caused such a problem.,Texture
"really fishy taste. i love the texture of these.  they are also not offensively sweet like other gummy products i have tried.  they are just hard to chew because they have a strong fishy taste to them.  i would find it easier to swallow these in a pill form because you would not have the unpleasant fishy taste just lingering in your mouth.  i will buy other gummy vitamins in this brand, just not fish oil.",Color and texture
"taste good but 5g sugars and 93mg oil (you need 300-600mg daily). these taste like candy. why wouldn't they? there's 2.5 grames of sugar (sucrose glucose) in every piece.there's only 93mg of omega 3 fatty acids (dha+epa) per serving which is laughable. this is not a fish oil supplement. this is a candy that has some fish oil in it - an amount that is negligible.in comparison, 1 serving of the fish oil supplement i take, viva naturals, has 2000mg of omega 3 fatty acids (dha+epa). that's literally more than 20x the amount these gummies are. and that's more than sufficient for the daily amount you should be taking, which is 400-600mg.in conclusion, these taste great, maybe eat them after eating proper serving of fish oil supplements. but if you need to avoid sugar, i would avoid these as the sugar content will add up. you may end up eating 4 like myself because they taste so good. that's 10g of sugar.i only write this negative review for those who really require omega 3 supplements and may think these are sufficient, they are not.",Ingredients
seal opened. the seal on my vitamins was opened,Packaging
"i'm on the fence.... this stuff is.. ok. i've been having a protein shake every morning for a week now and the taste is pretty good. i mix 2 scoops with almond milk, a frozen banana, and a tbsp. of pb fit. i've also tried almond milk and frozen strawberries which is also yum. it keeps me pretty full until lunch time and has a pleasant taste. the only real negative i have is that for the past 3 days this stuff has been giving me some wicked gas... i mean wicked. like i cant let one slide at work or i will clear the office. bad.",Quality/Contaminated
not good. doesn’t taste good. doesn’t taste how other reviews described it to be. lacks chocolate taste but has the taste of artificial sweeteners. tried to return it but only got half of what i paid for back.,Quality/Contaminated
"‘new’ packaging misleading. i’ve been using this for a year or so. i was disappointed today to find although on my order it states it is the same product only the appearance and the ‘packaging’ is new. but that isn’t the big deal, first it is 7.3 instead of 7.4; second the ingredients are different, mostly in the mg amounts, but also there is now no vitamin c. and it does not state ‘soy free’ anymore.",False Advertisement
"wrong item sent and i was not allowed to return. i ordered vcaps '0' empty capsules, 300-count and received an ankle support! ""x brand"" will not allow me to return and get my money back!!!!!!!",Wrong Product received
"recipe changed.. aweful smell and taste. contain oyster and shellfish. i've always enjoyed on products for their natural line of ingredients in their formulas. i purchase other vitamins, proteins and amino formulas that they offer and never had any issues with them. they don't use a lot of additives like sugar and chemical dyes that would otherwise make products taste better. i would get a lot of headaches and side effects like nausea and tiredness from similar leading brands and so this was another huge reason i continued with on products. the last couple of batches of these vitamins in particular have been getting worse and worse. they note on the bottle that the vitamins contain shellfish and oyster now. they do have a coating and are smaller as they advertise which i'm assuming helps you swallow it quicker too so you don't have to taste it for very long in your mouth. i have also noticed that the pills will crack and crumble if they are exposed to air or light for a day or so. i took some with me when i flew across the country and although they were enclosed in another bottle they started separating and breaking down. i have been purchasing on vitamins for years and never had quality problems or complaints before. i hope they can improve their formula soon because i would hate to jump ship to another company.",Smells Bad
they sent it in an unprotected package and it arrived damaged and spilled. it was sent in an unprotected package and it was damaged and spilled all over.  so far i have not received any kind of return information from these people.  i am still waiting and it's been several weeks. i do not recommend buying anything from them.,Packaging
i never received this product. i received an empty package. i never received the product and feel like i should get recent. i received empty package,Shipment and delivery
"lack of flavor. i have been using this product for almost 2 years. it gives me enough protein and calories to burn. however, for the past 12 months, i have changed flavors a few times due to lack of flavor. what i meant is every time i ordered any flavors, it just tastes plain. i recently exchanged another chocolate flavor, it still tastes plain, not chocolate. no matter how many times i exchange it, 1 out of 6 times, i get the flavor that actually tastes as it says.",Bad Taste/Flavor
"just started...will update. i just started. but i can say that it does make me feel “funny” i don’t know what it is. anxious, rapid heart rate and slight headaches i don’t know. maybe it’s in my head  the scoop is huge, and it takes two, i also don’t image this container lasting very long. and the taste isn’t bad. i bought the chocolate one. but it didn’t come fully filled maybe 3/4 full. but it did come sealed.  i plan to finish out as much of it as i can, but after this i can’t say i’m going to continue using it. hopefully i’ll actually gain some weight.",Quality/Contaminated
product was all over in package. not happy lid was broken and powder all inside of package,Packaging
"was shipped damaged and leaking. product came dented, cracked, and leaking. shipping box was undamaged so it looks like the seller just mailed a damaged product",Packaging
"came open and discolored, no refund from ""x brand"". got opened and all sticking together. they are supposed to be white not brown. disgusting and didn't get refunded either.",Bad Taste/Flavor
taste terrible. the flawless completion gummies taste terrible. i can’t even force them down. it’s weird because the stress relief gummies taste great.  these taste like something’s wrong.,Texture
"very close expiration date for naturewise green coffee. i disappointed once received the shipment and found green coffee bean expire date 1-1-2020 so six month only although i brought other items from naturewise also with more than year and half, i doubt to drink this coffee.",Expiry
"no thank you. these are excellent for sensitive skin. my children all have the most sensitive skin imaginable. never had a problem with these, so obviously they work for that purpose. having said that, the texture, and thickness leave a lot to be desired. they are flimsy. they don't wipe away much, and aren't durable enough to really rub. so thin that i may as well have been using my finger, and they just don't clean. they are not the softest things. they won't scratch or irritate skin, but that isn't sating much. they aren't very moist, which is probably part of the reason they don't work too well. the packaging is ok, and the flip top works perfectly. i don't buy wipes for the packaging though, so........there are a lot of better options",Color and texture
something is off. bottle shows up with 1/4 full.taste isn’t too bad but doesn’t seem right.,Quality/Contaminated
ineffective. it didn't help me much at all.,Not Effective
chalky flavor. smoothies- chalky taste,Bad Taste/Flavor
cheap for a reason.. wayyy to sticky for my uses. use on my stretch marks on my stomach and it’s unusable and sticks to everything. i’ll be returning this product.,Texture
